Station,DMS ,DMSPd,DMSPp,DMSOd,DMSOp,Temp,Sali,NOx,SiO3,PO4,a,diat,dino,cyano,chrys,bact,Pro,Syn,Euk
72,4.79872,3.84257,1.30716,0.71732,0.00366,29.11,35,0.271428571,0.3,0.232843137,0.75768543,0.199904235,0.119743562,0,0.012905885,85.49,36.36,12.77,10.96
77,2.43263,0.48298,0.39821,1.58527,0.27693,28.7,34.09,1.342857143,0.385714286,0.208333333,0.73931505,0.412219594,0.462114353,0,0.006452942,36.06,34.74,36.81,10.17
79,6.56619,0.49504,0.37423,0.31612,0.08183,29.16,34.97,0.978571429,0.35,0.183823529,0.518777745,0.144275417,0.115967086,0,0.006452942,53.11,72.04,10.58,5.72
80,1.00108,0.15284,0.87797,0.43874,0.16198,28.04,35.01,1.3,1.025,0.196078431,0.59106045,0.52031811,0.173426492,0,0.019358827,55.4,0.51,12.12,3.62
81,5.65961,0.07894,1.09184,0.40015,1.85803,29.06,35.03,1.007142857,0.667857143,0.196078431,0.65304846,0.564360051,1.300123389,0,0,11.93,27.11,10.92,7.58
82,0.42519,1.00976,0.68117,0.84179,1.01099,25.78,35.11,5.607142857,2.753571429,1.090686275,0.2612661,0.017211761,0.00063707,0,0,36.14,12.69,1.24,0.68
83,0.03161,0.20572,1.50854,1.08573,0.34948,15.46,35.13,8.464285714,6.639285714,1.924019608,0.02272596,0.000533712,0,0,0.019358827,13.73,0.04,0.26,0.01
84,0.03447,1.59846,6.09824,0.50046,4.41019,14.11,35.13,9.757142857,6.842857143,2.421875,0.021066855,0.000386784,0,0,0,15.13,0.01,0.23,0.01
85,2.64433,0.0523,2.16887,0.19095,0.08426,28.77,34.1,1.842857143,0.45,0.196078431,0.44470197,0.043434351,2.076872031,0,0.006452942,12.86,68.61,1.27,0.57
88,4.4509,0.02841,1.92879,0.09462,0.27057,25.31,35.11,0.571428571,1.082142857,0.294117647,0.649953525,0.221616741,0.07265693,0,0,84.35,2.4,0.11,7.44
